symbol,price_code,company_name,industry,exchange,sic_code
ACMP,GOOG/NYSE_ACMP,Access Midstream Partners L.P.,Pipeline MLPs,NYSE,4619
ACMTA,GOOG/PINK_ACMTA,ACMAT Corp,Insurance (Prop/Casualty,PINK,6330
ACN,GOOG/NYSE_ACN,Accenture Plc.,Computer Software & Svcs,NYSE,3579
ACNB,GOOG/NASDAQ_ACNB,Acnb Corp.,Bank,NASDAQ,6000
ACNI,GOOG/PINK_ACNI,American Community Newspapers,Newspaper,PINK,2710
ACO,GOOG/NYSE_ACO,Amcol International Corp.,Chemical (Specialty),NYSE,2820
ACOM,GOOG/NASDAQ_ACOM,Ancestry.Com,Internet,NASDAQ,7370
ACOR,GOOG/NASDAQ_ACOR,Acorda Therapeutics,Retail Store,NASDAQ,5300
ACPW,GOOG/NASDAQ_ACPW,Active Power,Electronics,NASDAQ,3670
ACRX,GOOG/NASDAQ_ACRX,Acelrx Pharmaceuticals,Drug,NASDAQ,2834
ACSEF,GOOG/PINK_ACSEF,ACS-Tech80 Ltd,Machinery,PINK,3500
ACTG,GOOG/NASDAQ_ACTG,Acacia Research Corp.,Entertainment,NASDAQ,7950
ACTS,GOOG/NASDAQ_ACTS,Actions Semiconductor Co.,Semiconductor,NASDAQ,3674
ACTT,GOOG/PINK_ACTT,ACT Teleconferencing,Telecom. Services,PINK,4810
ACTV,GOOG/NYSE_ACTV,Active Network Inc,Information Services,NYSE,8900
ACU,GOOG/AMEX_ACU,Acme United Corporation.,Household Products,AMEX,2840
ACUR,GOOG/NASDAQ_ACUR,Acura Pharmaceuticals,Drug,NASDAQ,2834
ACUSD,GOOG/PINK_ACUSD,Acusphere Inc,Drug,PINK,2834
ACW,GOOG/NYSE_ACW,Accuride Corporation New,Auto & Truck,NYSE,3710
ACXM,GOOG/NASDAQ_ACXM,Acxiom Corp.,Computer Software & Svcs,NASDAQ,3579
ACY,GOOG/AMEX_ACY,Aerocentury,Financial Svcs. (Div.),AMEX,6100
ADAT,GOOG/NASDAQ_ADAT,Authentidate Holding,Computer Software/Svcs,NASDAQ,
ADBE,GOOG/NASDAQ_ADBE,Adobe Systems Incorporated,Computer Software & Svcs,NASDAQ,3579
ADBN,GOOG/PINK_ADBN,Americana Distribution Inc,Publishing,PINK,2700
ADC,GOOG/NYSE_ADC,Agree Realty Corp.,R.E.I.T.,NYSE,6720
ADEP,GOOG/NASDAQ_ADEP,Adept Technology,Computer Software/Svcs,NASDAQ,3579
ADES,GOOG/NASDAQ_ADES,Ada-Es,Environmental,NASDAQ,4953
ADFS,GOOG/PINK_ADFS,American Defense Systems Inc.,Aerospace/Defense,PINK,3720
ADGE,GOOG/AMEX_ADGE,American Dg Energy Inc.,Electrical Equipment,AMEX,3600
ADI,GOOG/NASDAQ_ADI,Analog Devices,Semiconductor,NASDAQ,3674
ADK,GOOG/AMEX_ADK,Adcare Health Systems Inc,Medical Services,AMEX,8000
